User Link,Reputation gained
"4883","141325"
"6068","133255"
"51816","126307"
"39677","117202"
"87234","113949"
"179736","113770"
"49153","108257"
"63051","105669"
"4653","101875"
"11236","89920"
"9951","86013"
"4639","82637"
"342235","82399"
"12870","75865"
"65387","75482"
"4872","70270"
"247243","69710"
"9021","69597"
"12597","69108"
"48523","67250"
"260127","65395"
"95592","64878"
"46646","62745"
"7473","62325"
"84201","62112"
"128983","61525"
"104015","59275"
"18300","59220"
"54964","58790"
"39321","58397"
"15055","58045"
"14069","57430"
"116","57174"
"21709","55645"
"5441","54955"
"97101","53855"
"114066","51460"
"147601","51349"
"44984","50530"
"35364","50155"
"149080","49565"
"364969","49255"
"707381","48793"
"4766","48755"
"338204","48735"
"651174","48580"
"117700","48015"
"252000","46992"
"44330","46607"
"245549","45625"
"143378","45145"
"4105","45065"
"292291","44605"
"41021","44541"
"286802","44170"
"376947","44030"
"165673","43950"
"25847","42855"
"878126","42795"
"541686","42718"
"51518","42650"
"2147","42497"
"3713","42420"
"164299","42075"
"68183","41879"
"130758","41755"
"13161","41505"
"1384652","41315"
"5056","40730"
"165495","40415"
"859154","40365"
"2648","39750"
"325418","39728"
"184046","39545"
"98046","38975"
"156458","38965"
"111174","38795"
"11333","38240"
"426996","37680"
"243782","37477"
"13055","37390"
"493","37354"
"78374","37105"
"242933","36905"
"130015","36800"
"415784","36583"
"91","36547"
"359862","36545"
"27929","36435"
"456584","36400"
"99834","36315"
"224922","36280"
"31671","36028"
"1288","35961"
"25068","35955"
"179467","35765"
"383759","35720"
"16957","35580"
"496949","35557"
"31569","35430"
