2015,2016,2017,2018,2019,2020
3635829,4889410,6406573,8135276,9782081,11504063
99103,124817,130720,133816,142178,171251
96970,124012,136283,125341,131985,157529
110260,136611,156840,148627,148004,183630
110454,128501,141267,137745,144209,261310
101384,125198,145330,150627,147164,199591
102172,122547,140605,134119,133305,185939
106558,120520,150639,142530,141199,173435
100834,113682,144765,135828,135263,165866
103605,120929,152033,133417,137446,168870
110165,146759,158592,146336,155397,183299
106590,131685,152362,138219,147313,83635
105486,121902,119267,120200,158519,
